Datum	Betreff	Beginn	Ende	Kategorie	Ort
14.06.18	Russland - Saudi-Arabien	17:00:00	18:45:00	Gruppe A	Moskau
15.06.18	Ägypten - Uruguay	14:00:00	15:45:00	Gruppe A	Jekaterinburg
15.06.18	Marokko - Iran	17:00:00	18:45:00	Gruppe B	St. Petersburg
15.06.18	Portugal - Spanien	20:00:00	21:45:00	Gruppe B	Sotschi
16.06.18	Frankreich - Australien	12:00:00	13:45:00	Gruppe C	Kasan
16.06.18	Argentinien - Island	15:00:00	16:45:00	Gruppe D	Moskau
16.06.18	Peru - Dänemark	18:00:00	19:45:00	Gruppe C	Saransk
16.06.18	Kroatien - Nigeria	21:00:00	22:45:00	Gruppe D	Kaliningrad
17.06.18	Costa Rica - Serbien	14:00:00	15:45:00	Gruppe E	Samara
17.06.18	Deutschland - Mexiko	17:00:00	18:45:00	Gruppe F	Moskau
17.06.18	Brasilien - Schweiz	20:00:00	21:45:00	Gruppe E	Rostow am Don
18.06.18	Schweden - Südkorea	14:00:00	15:45:00	Gruppe F	Nischni Nowograd
18.06.18	Belgien - Panama	17:00:00	18:45:00	Gruppe G	Sotschi
18.06.18	Tunesien - England	20:00:00	21:45:00	Gruppe G	Wolgograd
19.06.18	Kolumbien - Japan	14:00:00	15:45:00	Gruppe H	Saransk
19.06.18	Polen - Senegal	17:00:00	18:45:00	Gruppe H	Moskau
19.06.18	Russland - Ägypten	20:00:00	21:45:00	Gruppe A	St. Petersburg
20.06.18	Portugal - Marokko	14:00:00	15:45:00	Gruppe B	Moskau
20.06.18	Uruguay - Saudi-Arabien	17:00:00	18:45:00	Gruppe A	Rostow am Don
20.06.18	Iran - Spanien	20:00:00	21:45:00	Gruppe B	Kasan
21.06.18	Dänemark - Australien	14:00:00	15:45:00	Gruppe C	Samara
21.06.18	Frankreich - Peru	17:00:00	18:45:00	Gruppe C	Jekaterinburg
21.06.18	Argentinien - Kroatien	20:00:00	21:45:00	Gruppe D	Nischni Nowograd
22.06.18	Brasilien - Costa Rica	14:00:00	15:45:00	Gruppe E	St. Petersburg
22.06.18	Nigeria - Island	17:00:00	18:45:00	Gruppe D	Wolgograd
22.06.18	Serbien - Schweiz	20:00:00	21:45:00	Gruppe E	Kaliningrad
23.06.18	Belgien - Tunesien	14:00:00	15:45:00	Gruppe G	Moskau
23.06.18	Südkorea - Mexiko	17:00:00	18:45:00	Gruppe F	Rostow am Don
23.06.18	Deutschland - Schweden	20:00:00	21:45:00	Gruppe F	Sotschi
24.06.18	England - Panama	14:00:00	15:45:00	Gruppe G	Nischni Nowograd
24.06.18	Japan - Senegal	17:00:00	18:45:00	Gruppe H	Jekaterinburg
24.06.18	Polen - Kolumbien	20:00:00	21:45:00	Gruppe H	Kasan
25.06.18	Uruguay - Russland	16:00:00	17:45:00	Gruppe A	Samara
25.06.18	Saudi-Arabien - Ägypten	16:00:00	17:45:00	Gruppe A	Wolgograd
25.06.18	Spanien - Marokko	20:00:00	21:45:00	Gruppe B	Kaliningrad
25.06.18	Iran - Portugal	20:00:00	21:45:00	Gruppe B	Saransk
26.06.18	Dänemark - Frankreich	16:00:00	17:45:00	Gruppe C	Moskau
26.06.18	Australien - Peru	16:00:00	17:45:00	Gruppe C	Sotschi
26.06.18	Island - Kroatien	20:00:00	21:45:00	Gruppe D	Rostow am Don
26.06.18	Nigeria - Argentinien	20:00:00	21:45:00	Gruppe D	St. Petersburg
27.06.18	Mexiko - Schweden	16:00:00	17:45:00	Gruppe F	Jekaterinburg
27.06.18	Südkorea - Deutschland	16:00:00	17:45:00	Gruppe F	Kasan
27.06.18	Serbien - Brasilien	20:00:00	21:45:00	Gruppe E	Moskau
27.06.18	Schweiz - Costa Rica	20:00:00	21:45:00	Gruppe E	Nischni Nowograd
28.06.18	Senegal - Kolumbien	16:00:00	17:45:00	Gruppe H	Samara
28.06.18	Japan - Polen	16:00:00	17:45:00	Gruppe H	Wolgograd
28.06.18	England - Belgien	20:00:00	21:45:00	Gruppe G	Kaliningrad
28.06.18	Panama - Tunesien	20:00:00	21:45:00	Gruppe G	Saransk
